STT,Mã MH,Tên môn học,TC,Khoa/BM quản lý,Khoa/BM đang sử dụng,Mã MH,Tên môn học tương đương,TC,Khoa/BM quản lý,Ghi chú
88,208501,Dự án phát triển,3,KINH TẾ,,208421,Dự án đầu tư,3,KINH TẾ,
89,208504,Quản trị dự án lâm nghiệp,2,KINH TẾ,,208438,Quản trị dự án,2,KINH TẾ,Chỉ áp dụng cho SV chuyên ngành PT Nông thôn
90,208902,Khóa luận tốt nghiệp,10,KINH TẾ,,208599,Khóa luận tốt nghiệp TN ngành PTNT,10,KINH TẾ,
91,208911,Kế toán tài chính 4,3,KINH TẾ,,208348,Kế toán tài chánh 2,3,KINH TẾ,Chỉ áp dụng cho SV liên thông lên đại học ngành Kế toán
92,208912,Kế toán tài chính 5,3,KINH TẾ,,208300,Kế toán tài chánh 3,3,KINH TẾ,Chỉ áp dụng cho SV liên thông lên đại học ngành Kế toán
93,213201,Theory of translation,3,NGOẠI NGỮ SƯ PHẠM,,213120,Theosy of Tranggiion,3,NGOẠI NGỮ SƯ PHẠM,
94,215105,Tiếng việt thực hành,2,NGOẠI NGỮ SƯ PHẠM,,213411,Tiếng việt thực hành,2,NGOẠI NGỮ SƯ PHẠM,
95,213501,Introduction to Literature,2,NGOẠI NGỮ SƯ PHẠM,,213408,Introduction so Lierstue,2,NGOẠI NGỮ SƯ PHẠM,
96,213502,British Studies,2,NGOẠI NGỮ SƯ PHẠM,,213409,Birtish Studes,2,NGOẠI NGỮ SƯ PHẠM,
97,213503,American Studies,2,NGOẠI NGỮ SƯ PHẠM,,213410,American students,2,NGOẠI NGỮ SƯ PHẠM,
98,213504,British Literature,3,NGOẠI NGỮ SƯ PHẠM,,213415,Birtish Lierstue,3,NGOẠI NGỮ SƯ PHẠM,
99,213505,American Literature,3,NGOẠI NGỮ SƯ PHẠM,,213412,American Lierstue,3,NGOẠI NGỮ SƯ PHẠM,
100,212506,Lịch sử văn minh phương Tây,2,NGOẠI NGỮ SƯ PHẠM,,213413,Lịch sử văn minh Phương Tây,2,NGOẠI NGỮ SƯ PHẠM,
101,213507,Lịch sử văn minh phương Đông,2,NGOẠI NGỮ SƯ PHẠM,,213414,Lịch sử văn minh Phương Đông ,2,NGOẠI NGỮ SƯ PHẠM,
102,213902,Phương pháp nguyên cứu KH,2,NGOẠI NGỮ SƯ PHẠM,,213135,Phương pháp NC Khoa học,2,NGOẠI NGỮ SƯ PHẠM,
103,213302,Educational Psycholoov,3,NGOẠI NGỮ SƯ PHẠM,,213125,Educational Paychology,3,NGOẠI NGỮ SƯ PHẠM,
104,213303,TESOL methodology 1 ,3,NGOẠI NGỮ SƯ PHẠM,,213126,TESOL Methodology 1,3,NGOẠI NGỮ SƯ PHẠM,
105,213304,TESOL methodology 2,3,NGOẠI NGỮ SƯ PHẠM,,213127,TESOL methodology 2,3,NGOẠI NGỮ SƯ PHẠM,
106,213305,Classroom Obvervation,3,NGOẠI NGỮ SƯ PHẠM,,213132,Classroom Obvervation,3,NGOẠI NGỮ SƯ PHẠM,
107,213306,Teaching practice,3,NGOẠI NGỮ SƯ PHẠM,,213133,Teaching practice 1,3,NGOẠI NGỮ SƯ PHẠM,
108,213908,Tổng hợp chuyên ngành,3,NGOẠI NGỮ SƯ PHẠM,,213903,Tổng hợp năng lực Tiếng Anh 3,3,NGOẠI NGỮ SƯ PHẠM,
109,209223,Phân tích và thiết kế HTTTNĐ,3,QUẢN LÝ ĐO & BĐS,,209132,PT thiết kế HTTT đất đai,3,QUẢN LÝ ĐO & BĐS,
110,209102,Trắc địa địa chính,3,QUẢN LÝ ĐO & BĐS,,209129,Đo đạt địa chính,3,QUẢN LÝ ĐO & BĐS,
111,209106,Trắc địa ảnh hàng không,3,QUẢN LÝ ĐO & BĐS,,209140,Trắc lượng ảnh,3,QUẢN LÝ ĐO & BĐS,
112,200107,Viễn thám cơ sở,3,QUẢN LÝ ĐO & BĐS,,209141,Viễn thám,3,QUẢN LÝ ĐO & BĐS,
113,209108,Viễn thám ứng dụng,2,QUẢN LÝ ĐO & BĐS,,209138,Tích hợp viễn thảm & GiS,2,QUẢN LÝ ĐO & BĐS,
114,209112,Bản đồ địa hình,2,QUẢN LÝ ĐO & BĐS,,209145,Bản đồ địa hình,2,QUẢN LÝ ĐO & BĐS,
115,209115,Kỹ thuật bản đồ số,2,QUẢN LÝ ĐO & BĐS,,209144,Kỹ thuật bản đồ số,2,QUẢN LÝ ĐO & BĐS,Chỉ áp dụng cho SV ngành Công nghệ địa chính
116,209121,Lưu trữ hồ sơ địa chính,2,QUẢN LÝ ĐO & BĐS,,209133,Lưu trữ hồ sơ địa chính,2,QUẢN LÝ ĐO & BĐS,
117,209202,Kinh tế đất đai,2,QUẢN LÝ ĐO & BĐS,,209422,Kinh tế đất,2,QUẢN LÝ ĐO & BĐS,
118,209409,Quản lý sàn giao dịch ĐĐS,2,QUẢN LÝ ĐO & BĐS,,209421,Chiến lược kinh doanh ĐĐS,2,QUẢN LÝ ĐO & BĐS,
119,209416,Nguyên lý bất cộng sản,2,QUẢN LÝ ĐO & BĐS,,209218,Tài chính đất đai,2,QUẢN LÝ ĐO & BĐS,
120,209404,Luật đầu tư,2,QUẢN LÝ ĐO & BĐS,,209226,Luật đầu tư,2,QUẢN LÝ ĐO & BĐS,
121,209215,Luật xây dựng và luật nhà ở,2,QUẢN LÝ ĐO & BĐS,,209228,Luật xây dựng,2,QUẢN LÝ ĐO & BĐS,
122,209215,Luật xây dựng và luật nhà ở,2,QUẢN LÝ ĐO & BĐS,,209227,Luật nhà ở,2,QUẢN LÝ ĐO & BĐS,
123,209406,Đăng ký thống kê đất đai,2,QUẢN LÝ ĐO & BĐS,,209224,Đăng ký đất đai & BĐS,2,QUẢN LÝ ĐO & BĐS,
124,209406,Đăng ký thống kê đất đai,2,QUẢN LÝ ĐO & BĐS,,209230,"Thống kê, kiểm kê đất đai",2,QUẢN LÝ ĐO & BĐS,
125,209216,Bồi thường giải phóng mặt bằng,2,QUẢN LÝ ĐO & BĐS,,209225,Bồi thường đất đai & BĐS,2,QUẢN LÝ ĐO & BĐS,
126,209301,Tài nguyên đất đai,3,QUẢN LÝ ĐO & BĐS,,209338,Tài nguyên đất,3,QUẢN LÝ ĐO & BĐS,
